home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points,home_win_rate,home_avg_goals,home_avg_conceded,away_win_rate,away_avg_goals,away_avg_conceded
Haiti,Poland,0,7,First round,1974,0,83.0,1293.096585,36.0,1526.183359,0.0,0.6666666666666666,4.666666666666667,0.4473684210526316,1.2894736842105263,1.3157894736842106
Bulgaria,Uruguay,1,1,First round,1974,1,87.0,1271.683325,16.0,1673.068603,0.1153846153846153,0.8461538461538461,2.0384615384615383,0.423728813559322,1.5084745762711864,1.2881355932203389
Netherlands,Sweden,0,0,First round,1974,1,8.0,1751.097835,38.0,1509.785392,0.5454545454545454,1.7454545454545454,0.9454545454545454,0.3725490196078431,1.568627450980392,1.431372549019608
Argentina,Italy,1,1,First round,1974,1,1.0,1876.118331,12.0,1704.733836,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.5421686746987951,1.5421686746987953,0.927710843373494
Scotland,Brazil,0,0,First round,1974,1,42.0,1503.34027,6.0,1765.856297,0.1739130434782608,1.0869565217391304,1.7826086956521738,0.6666666666666666,2.0789473684210527,0.9473684210526316
Uruguay,Netherlands,0,2,First round,1974,0,16.0,1673.068603,8.0,1751.097835,0.423728813559322,1.5084745762711864,1.2881355932203389,0.5454545454545454,1.7454545454545454,0.9454545454545454
Sweden,Bulgaria,0,0,First round,1974,1,38.0,1509.785392,87.0,1271.683325,0.3725490196078431,1.568627450980392,1.431372549019608,0.1153846153846153,0.8461538461538461,2.0384615384615383
Italy,Haiti,3,1,First round,1974,2,12.0,1704.733836,83.0,1293.096585,0.5421686746987951,1.5421686746987953,0.927710843373494,0.0,0.6666666666666666,4.666666666666667
Poland,Argentina,3,2,First round,1974,2,36.0,1526.183359,1.0,1876.118331,0.4473684210526316,1.2894736842105263,1.3157894736842106,0.5340909090909091,1.7272727272727273,1.1477272727272727
Brazil,Italy,4,1,Final,1970,2,6.0,1765.856297,12.0,1704.733836,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.5421686746987951,1.5421686746987953,0.927710843373494
Brazil,Uruguay,3,1,Semi-finals,1970,2,6.0,1765.856297,16.0,1673.068603,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.423728813559322,1.5084745762711864,1.2881355932203389
Brazil,Peru,4,2,Quarter-finals,1970,2,6.0,1765.856297,51.0,1459.390555,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.2777777777777778,1.1666666666666667,1.8333333333333333
Italy,Mexico,4,1,Quarter-finals,1970,2,12.0,1704.733836,14.0,1687.481759,0.5421686746987951,1.5421686746987953,0.927710843373494,0.2833333333333333,1.0333333333333334,1.6833333333333331
Mexico,Belgium,1,0,Group stage,1970,2,14.0,1687.481759,9.0,1742.235945,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.4117647058823529,1.3529411764705883,1.4509803921568627
Italy,Israel,0,0,Group stage,1970,1,12.0,1704.733836,76.0,1333.904007,0.5421686746987951,1.5421686746987953,0.927710843373494,0.0,0.3333333333333333,1.0
Bulgaria,Morocco,1,1,Group stage,1970,1,87.0,1271.683325,7.0,1755.100232,0.1153846153846153,0.8461538461538461,2.0384615384615383,0.217391304347826,0.8695652173913043,1.173913043478261
Brazil,Romania,3,2,Group stage,1970,2,6.0,1765.856297,53.0,1455.894657,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.3809523809523809,1.4285714285714286,1.5238095238095235
Sweden,Uruguay,1,0,Group stage,1970,2,38.0,1509.785392,16.0,1673.068603,0.3725490196078431,1.568627450980392,1.431372549019608,0.423728813559322,1.5084745762711864,1.2881355932203389
Mexico,El Salvador,4,0,Group stage,1970,2,14.0,1687.481759,101.0,1225.344607,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.0,0.1666666666666666,3.6666666666666665
Brazil,England,1,0,Group stage,1970,2,6.0,1765.856297,4.0,1827.048678,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.4324324324324324,1.4054054054054057,0.918918918918919
Sweden,Israel,1,1,Group stage,1970,1,38.0,1509.785392,76.0,1333.904007,0.3725490196078431,1.568627450980392,1.431372549019608,0.0,0.3333333333333333,1.0
Uruguay,Italy,0,0,Group stage,1970,1,16.0,1673.068603,12.0,1704.733836,0.423728813559322,1.5084745762711864,1.2881355932203389,0.5421686746987951,1.5421686746987953,0.927710843373494
Peru,Morocco,3,0,Group stage,1970,2,51.0,1459.390555,7.0,1755.100232,0.2777777777777778,1.1666666666666667,1.8333333333333333,0.217391304347826,0.8695652173913043,1.173913043478261
Belgium,El Salvador,3,0,Group stage,1970,2,9.0,1742.235945,101.0,1225.344607,0.4117647058823529,1.3529411764705883,1.4509803921568627,0.0,0.1666666666666666,3.6666666666666665
Italy,Sweden,1,0,Group stage,1970,2,12.0,1704.733836,38.0,1509.785392,0.5421686746987951,1.5421686746987953,0.927710843373494,0.3725490196078431,1.568627450980392,1.431372549019608
England,Romania,1,0,Group stage,1970,2,4.0,1827.048678,53.0,1455.894657,0.4324324324324324,1.4054054054054057,0.918918918918919,0.3809523809523809,1.4285714285714286,1.5238095238095235
Peru,Bulgaria,3,2,Group stage,1970,2,51.0,1459.390555,87.0,1271.683325,0.2777777777777778,1.1666666666666667,1.8333333333333333,0.1153846153846153,0.8461538461538461,2.0384615384615383
Uruguay,Israel,2,0,Group stage,1970,2,16.0,1673.068603,76.0,1333.904007,0.423728813559322,1.5084745762711864,1.2881355932203389,0.0,0.3333333333333333,1.0
England,Portugal,2,1,Semi-finals,1966,2,4.0,1827.048678,5.0,1766.177547,0.4324324324324324,1.4054054054054057,0.918918918918919,0.4857142857142857,1.7428571428571429,1.1714285714285717
Portugal,Korea DPR,5,3,Quarter-finals,1966,2,5.0,1766.177547,120.0,1151.052136,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.1428571428571428,0.8571428571428571,3.0
England,Argentina,1,0,Quarter-finals,1966,2,4.0,1827.048678,1.0,1876.118331,0.4324324324324324,1.4054054054054057,0.918918918918919,0.5340909090909091,1.7272727272727273,1.1477272727272727
England,France,2,0,Group stage,1966,2,4.0,1827.048678,3.0,1869.428449,0.4324324324324324,1.4054054054054057,0.918918918918919,0.5342465753424658,1.8630136986301369,1.1643835616438356
Hungary,Bulgaria,3,1,Group stage,1966,2,41.0,1504.135797,87.0,1271.683325,0.46875,2.71875,1.78125,0.1153846153846153,0.8461538461538461,2.0384615384615383
Uruguay,Mexico,0,0,Group stage,1966,1,16.0,1673.068603,14.0,1687.481759,0.423728813559322,1.5084745762711864,1.2881355932203389,0.2833333333333333,1.0333333333333334,1.6833333333333331
Argentina,Switzerland,2,0,Group stage,1966,2,1.0,1876.118331,19.0,1650.064179,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.3414634146341463,1.3414634146341464,1.7804878048780488
Portugal,Brazil,3,1,Group stage,1966,2,5.0,1766.177547,6.0,1765.856297,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.6666666666666666,2.0789473684210527,0.9473684210526316
