home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Germany,Algeria,2,1,Round of 16,2014,2,10.0,1735.771984,28.0,1571.033293
Netherlands,Mexico,2,1,Round of 16,2014,2,8.0,1751.097835,14.0,1687.481759
Costa Rica,Greece,1,1,Round of 16,2014,1,52.0,1457.00228,48.0,1473.187305
Brazil,Chile,1,1,Round of 16,2014,1,6.0,1765.856297,55.0,1452.939983
Colombia,Uruguay,2,0,Round of 16,2014,2,13.0,1698.351858,16.0,1673.068603
Portugal,Ghana,2,1,Group stage,2014,2,5.0,1766.177547,73.0,1346.881205
Korea Republic,Belgium,0,1,Group stage,2014,0,25.0,1591.630886,9.0,1742.235945
Algeria,Russia,1,1,Group stage,2014,1,28.0,1571.033293,35.0,1527.237131
Bosnia and Herzegovina,IR Iran,3,1,Group stage,2014,2,64.0,1387.215771,20.0,1619.58163
Nigeria,Argentina,2,3,Group stage,2014,0,26.0,1586.688586,1.0,1876.118331
Honduras,Switzerland,0,3,Group stage,2014,0,65.0,1378.970301,19.0,1650.064179
Ecuador,France,0,0,Group stage,2014,1,23.0,1598.51582,3.0,1869.428449
Costa Rica,England,0,0,Group stage,2014,1,52.0,1457.00228,4.0,1827.048678
Italy,Uruguay,0,1,Group stage,2014,0,12.0,1704.733836,16.0,1673.068603
Japan,Colombia,1,4,Group stage,2014,0,18.0,1661.576187,13.0,1698.351858
Greece,Côte d'Ivoire,2,1,Group stage,2014,2,48.0,1473.187305,33.0,1540.869533
Australia,Spain,0,3,Group stage,2014,0,27.0,1579.34264,2.0,1873.013187
Netherlands,Chile,2,0,Group stage,2014,2,8.0,1751.097835,55.0,1452.939983
Croatia,Mexico,1,3,Group stage,2014,0,11.0,1714.865572,14.0,1687.481759
Cameroon,Brazil,1,4,Group stage,2014,0,44.0,1481.235245,6.0,1765.856297
Belgium,Russia,1,0,Group stage,2014,2,9.0,1742.235945,35.0,1527.237131
